Period,SARIMA_Forecast,Prophet_Forecast,Actual
1,274563.0630252102,373169.1921540105,471250
2,296973.0630252102,384485.4079350636,536389
3,765543.0630252103,925660.6709578487,709150
4,399933.0630252102,393230.25866878056,605803
5,769293.0630252103,569892.3727828533,439681
6,328833.0630252102,382424.7895203735,439070
7,458793.0630252103,527254.8620144622,383151
8,480813.0630252103,571764.2926305447,619583
9,361323.0630252102,617547.7953859452,281518
10,1073133.0630252103,1678402.760814979,647417
11,413043.0630252102,953725.0082474332,723542
12,401793.06302521034,601899.3285780463,417976
13,491373.0630252102,610273.8117113938,380325
