Period,SARIMA_Forecast,Prophet_Forecast,Actual
1,299362.6379495432,346087.33181059407,236475
2,364968.3879495432,396545.7885658758,283397
3,486707.1379495432,489796.0995449242,717219
4,332145.8879495432,373552.5993476826,640494
5,171304.63794954325,251951.81910229515,1038901
6,96335.13794954325,195322.12469699184,505230
7,193705.8879495432,270326.0308918848,535445
8,191545.1379495432,269323.7019579987,496268
9,217566.3879495432,289988.9146450889,190363
10,466726.3879495432,482787.1530836504,188715
11,459967.38794954325,478725.8515320882,187478
12,311935.63794954325,365195.9634465792,297289
13,529476.3879495433,535002.8058561399,220478
