Period,SARIMA_Forecast,Prophet_Forecast,Actual
1,455565.3812965722,428198.1038357508,236475
2,469617.7146299056,439206.5889984161,283397
3,320735.38129657216,312441.17287456285,717219
4,297416.38129657216,292116.2258258393,640494
5,230137.71462990553,234872.00030088838,1038901
6,301776.0479632389,294550.0274273812,505230
7,275213.04796323885,271663.68543124705,535445
8,302463.38129657216,293881.3460397733,496268
9,551638.0479632389,501227.7565578697,190363
10,578568.7146299055,522592.4111848645,188715
11,423609.04796323885,392694.9018971993,187478
12,595199.3812965722,534159.3110163511,297289
13,294425.0479632389,284114.2770829235,220478
