日期,类别,数值
2024-01-01,产品A,150
2024-01-01,产品B,200
2024-01-01,产品C,100
2024-01-01,产品D,180
2024-01-01,产品E,120
2024-02-01,产品A,165
2024-02-01,产品B,210
2024-02-01,产品C,115
2024-02-01,产品D,195
2024-02-01,产品E,130
2024-03-01,产品A,180
2024-03-01,产品B,225
2024-03-01,产品C,125
2024-03-01,产品D,210
2024-03-01,产品E,140
2024-04-01,产品A,195
2024-04-01,产品B,240
2024-04-01,产品C,135
2024-04-01,产品D,225
2024-04-01,产品E,150
2024-05-01,产品A,210
2024-05-01,产品B,255
2024-05-01,产品C,145
2024-05-01,产品D,240
2024-05-01,产品E,160
2024-06-01,产品A,225
2024-06-01,产品B,270
2024-06-01,产品C,155
2024-06-01,产品D,255
2024-06-01,产品E,170
